strain	id	culture_year	edited	allele	condition	transcript	tpm
JU2106	GZ_B10_A1_ECA3095	2022	TRUE	REF	JU2106_edits	C36A4.11.1	1.6649811163091
JU2106	GZ_B10_A4_ECA3098	2022	TRUE	REF	JU2106_edits	C36A4.11.1	1.50134595278916
JU2106	GZ_B10_B4_ECA3095	2022	TRUE	REF	JU2106_edits	C36A4.11.1	1.15939042500794
JU2106	GZ_B10_B7_ECA3098	2022	TRUE	REF	JU2106_edits	C36A4.11.1	1.36457645846698
JU2106	GZ_B10_C7_ECA3095	2022	TRUE	REF	JU2106_edits	C36A4.11.1	1.46798464648247
JU2106	GZ_B10_D1_ECA3098	2022	TRUE	REF	JU2106_edits	C36A4.11.1	2.03169125913655
JU2106	GZ_B10_D7	2022	FALSE	ALT	JU2106	C36A4.11.1	1.3486337287935
JU2106	GZ_B10_E1_ECA3095	2022	TRUE	REF	JU2106_edits	C36A4.11.1	1.91534579474754
JU2106	GZ_B10_E4_ECA3098	2022	TRUE	REF	JU2106_edits	C36A4.11.1	0.597961713551142
JU2106	GZ_B10_F1	2022	FALSE	ALT	JU2106	C36A4.11.1	1.49723369154955
JU2106	GZ_B10_F4_ECA3095	2022	TRUE	REF	JU2106_edits	C36A4.11.1	1.3264512015892
JU2106	GZ_B10_F7_ECA3098	2022	TRUE	REF	JU2106_edits	C36A4.11.1	1.23399072362765
JU2106	GZ_B10_G4	2022	FALSE	ALT	JU2106	C36A4.11.1	0.650818184269987
JU2106	GZ_B10_H1_ECA3098	2022	TRUE	REF	JU2106_edits	C36A4.11.1	1.27541745503478
JU2106	GZ_B10_H7	2022	FALSE	ALT	JU2106	C36A4.11.1	1.18337996809136
JU2106	GZ_B3_D9	2017	FALSE	ALT	JU2106	C36A4.11.1	1.98138928582377
JU2106	GZ_B5_B8	2017	FALSE	ALT	JU2106	C36A4.11.1	0.768687827775104
JU2106	GZr_B3_B5	2017	FALSE	ALT	JU2106	C36A4.11.1	1.19730950756252
JU2141	GZ_B10_A6_ECA3100	2022	TRUE	ALT	JU2141_edits	C36A4.11.1	2.35955168817824
JU2141	GZ_B10_B8_ECA3099	2022	TRUE	ALT	JU2141_edits	C36A4.11.1	2.26978444083233
