strain	isotype	latitude	longitude
AB1	AB1	-34.93	138.59
BRC20067	BRC20067	24.072954	121.169736
BRC20263	BRC20263	-33.86748611	151.2069889
CB4854	CB4854	34.189	-118.131
CB4856	CB4856	21.33	-157.86
CB4932	CB4932	51.02	-3.1
CX11254	CX11254	34.130138	-118.114835
CX11262	CX11262	34.130138	-118.114835
CX11264	CX11264	34.130138	-118.114835
CX11271	CX11271	34.13712	-118.12532
CX11276	CX11276	34.20111	-118.21198
CX11285	CX11285	34.14331	-118.05496
CX11292	CX11292	34.13531	-118.30582
CX11307	CX11307	34.12946	-118.10987
CX11314	CX11314	34.12946	-118.10987
CX11315	CX11315	34.12946	-118.10987
DL200	DL200	9.03	38.74
DL226	DL226	44.5633	-123.2821
DL238	DL238	19.11	-155.81
ECA1069	ECA1069	-34.89411879	-56.15794301
ECA1074	ECA1074	-34.89623486	-56.15625241
ECA1185	ECA1185	19.44006389	-155.3020167
ECA1186	ECA1186	19.11456944	-155.8201944
ECA1187	ECA1187	19.44189167	-155.3012944
ECA1191	ECA1191	19.44285556	-155.3017222
ECA1192	ECA1192	19.43996944	-155.3050667
ECA1193	ECA1193	19.43996944	-155.3050667
ECA1194	ECA1194	19.43961111	-155.3040139
ECA1195	ECA1195	19.43961111	-155.3040139
ECA1196	ECA1196	19.44285556	-155.3017222
ECA1200	ECA1200	20.03956944	-155.4403861
ECA1202	ECA1202	19.71897222	-155.9490944
ECA1206	ECA1206	19.71897222	-155.9490944
ECA1208	ECA1208	19.71895278	-155.9515361
ECA1212	ECA1212	19.71876389	-155.9488722
ECA1216	ECA1216	19.720575	-155.9476528
ECA1223	ECA1223	19.7188	-155.9544833
ECA1225	ECA1225	19.7188	-155.9544833
ECA1228	ECA1228	19.72135556	-155.9473333
ECA1229	ECA1229	19.10540278	-155.697525
ECA1232	ECA1232	19.44023611	-155.3014944
ECA1237	ECA1237	19.44180278	-155.3046194
ECA1238	ECA1238	19.438925	-155.3033667
ECA1240	ECA1240	19.44179722	-155.304625
ECA1242	ECA1242	19.43860278	-155.3033389
ECA1243	ECA1243	19.12013889	-155.8196139
ECA1247	ECA1247	19.7205	-155.9477056
ECA1251	ECA1251	19.43866111	-155.3034417
ECA1252	ECA1252	19.438925	-155.3033667
ECA1253	ECA1253	19.438925	-155.3033667
ECA1255	ECA1255	20.04141111	-155.4438278
ECA1257	ECA1257	20.04141111	-155.4438278
ECA1260	ECA1260	19.12068611	-155.8196833
ECA1261	ECA1261	19.11523611	-155.8191083
ECA1269	ECA1269	19.12068611	-155.8196833
ECA1271	ECA1271	19.12069167	-155.8196556
ECA1276	ECA1276	20.04086389	-155.4437722
ECA1278	ECA1278	20.04086389	-155.4437722
ECA1281	ECA1281	19.72010278	-155.9486167
ECA1283	ECA1283	19.72010278	-155.9486167
ECA1284	ECA1284	20.03859444	-155.4399778
ECA1286	ECA1286	19.12063056	-155.8197528
ECA1287	ECA1287	19.12013889	-155.8196139
ECA1288	ECA1288	19.11528889	-155.8191944
ECA1289	ECA1289	19.11941944	-155.8217833
ECA1293	ECA1293	19.72048889	-155.9477194
ECA1298	ECA1298	20.038475	-155.4383306
ECA1316	ECA1316	44.1076944	-123.6716667
ECA1409	ECA1409	22.129361	-159.654455
ECA1413	ECA1413	22.129316	-159.654434
ECA1493	ECA1493	21.311768	-157.76181
ECA1693	ECA1693	20.827135	-156.27604
ECA1713	ECA1713	21.329164	-157.82277
ECA1717	ECA1717	22.142139	-159.65287
ECA1725	ECA1725	22.135492	-159.64781
ECA1751	ECA1751	22.146558	-159.66137
ECA1757	ECA1757	20.826934	-156.27721
ECA1761	ECA1761	22.149703	-159.6679
ECA1769	ECA1769	22.143803	-159.65537
ECA1793	ECA1793	22.135156	-159.64897
ECA1805	ECA1805	20.82693	-156.27724
ECA1807	ECA1807	19.120128	-155.81958
ECA1815	ECA1815	20.826071	-156.27737
ECA1821	ECA1821	20.669708	-156.33743
ECA1825	ECA1825	22.133714	-159.65054
ECA1843	ECA1843	20.729436	-156.31102
ECA1851	ECA1851	22.134589	-159.64946
ECA1853	ECA1853	20.826691	-156.27707
ECA396	ECA396	19.449831	-155.235493
ECA1875	ECA1875	20.826612	-156.2769
ECA1885	ECA1885	22.134589	-159.64946
ECA1887	ECA1887	20.837057	-156.28086
ECA1889	ECA1889	20.837057	-156.28086
ECA189	ECA189	19.423889	-155.2225
ECA1891	ECA1891	19.120367	-155.81956
ECA1901	ECA1901	20.837038	-156.28091
ECA191	ECA191	19.424167	-155.221944
ECA1919	ECA1919	20.826518	-156.27704
ECA1925	ECA1925	22.134164	-159.64984
JU1666	JU1666	48.7049	-3.7941
ECA1937	ECA1937	19.120128	-155.81958
ECA1939	ECA1939	19.120128	-155.81958
ECA1943	ECA1943	19.120128	-155.81958
ECA1969	ECA1969	19.719961	-155.94817
ECA1977	ECA1977	19.120025	-155.81961
ECA1997	ECA1997	19.720117	-155.94871
ECA2041	ECA2041	20.837056	-156.28088
ECA2043	ECA2043	20.670209	-156.33692
ECA2073	ECA2073	19.718619	-155.94865
ECA2081	ECA2081	19.719672	-155.94858
ECA2091	ECA2091	22.146997	-159.66341
ECA2109	ECA2109	22.133228	-159.65126
ECA2111	ECA2111	22.133228	-159.65126
ECA2151	ECA2151	22.135358	-159.64829
ECA2155	ECA2155	22.135492	-159.64781
ECA2159	ECA2159	22.135492	-159.64781
ECA2183	ECA2183	22.135483	-159.64808
ECA2187	ECA2187	22.135483	-159.64808
ECA2191	ECA2191	22.147283	-159.66203
ECA2195	ECA2195	22.149092	-159.66649
ECA2199	ECA2199	22.149092	-159.66649
ECA2251	ECA2251	19.72178889	-155.9473389
ECA2281	ECA2281	22.132297	-159.65173
ECA2291	ECA2291	20.813036	-156.26958
ECA2332	ECA2332	20.826718	-156.27902
ECA2334	ECA2334	22.133356	-159.65109
ECA2336	ECA2336	22.134086	-159.65033
ECA2344	ECA2344	20.82662	-156.27684
ECA2350	ECA2350	20.82662	-156.27684
ECA2360	ECA2360	20.727403	-156.30736
ECA2367	ECA2367	20.72333333	-156.3045271
ECA2377	ECA2377	19.114519	-155.82031
ECA2417	ECA2417	19.719706	-155.94864
ECA243	CB4851	44.85	0.48
ECA2437	ECA2437	19.719953	-155.94858
ECA2443	ECA2443	19.720022	-155.9484
ECA2452	ECA2452	19.119975	-155.81961
ECA246	CB4853	34.189	-118.131
ECA2467	ECA2467	19.114675	-155.82014
ECA2473	ECA2473	19.721806	-155.94736
ECA2475	ECA2475	20.041372	-155.44355
ECA248	CB4855	37.44	-122.14
ECA2481	ECA2481	19.120458	-155.81953
ECA2482	ECA2482	19.721806	-155.94736
ECA2489	ECA2489	19.721789	-155.94734
ECA250	CB4857	34.096	-117.719
ECA251	CB4858	34.1	-118.1
ECA2522	ECA2522	34.0651806	-118.4414881
ECA2523	ECA2523	34.0651117	-118.4415998
ECA2527	ECA2527	34.0651806	-118.4414881
ECA2529	ECA2529	34.065216	-118.4414922
ECA2533	ECA2533	34.065186	-118.4416029
ECA2536	ECA2536	34.0651806	-118.4414881
ECA2546	ECA2546	-38.15055556	144.3788889
ECA2549	ECA2549	-37.8699364	144.9838814
ECA2551	ECA2551	-37.8699364	144.9838814
ECA2554	ECA2554	-37.8700328	144.983856
ECA2555	ECA2555	-37.8700328	144.983856
ECA2559	ECA2559	-37.87	144.9836111
ECA2560	ECA2560	-37.82444444	145.4433333
ECA2561	ECA2561	-37.8269983	144.9798563
ECA2565	ECA2565	-37.82472222	145.4427778
ECA2568	ECA2568	-37.8223452	144.9736522
ECA2581	ECA2581	-37.8253099	144.9768299
ECA2583	ECA2583	-38.15	144.3788889
ECA2584	ECA2584	-38.15	144.3788889
ECA2594	ECA2594	-37.83305556	144.9797222
ECA2595	ECA2595	-37.83277778	144.9797222
ECA2601	ECA2601	-37.8223566	144.9736758
ECA2602	ECA2602	-37.82222222	144.9736111
ECA2603	ECA2603	-37.82222222	144.9736111
ECA2607	ECA2607	-37.825658	144.9770918
ECA2609	ECA2609	-38.15	144.3791667
ECA2612	ECA2612	-37.8274278	144.980163
ECA2615	ECA2615	-37.82444444	145.4433333
ECA2641	ECA2641	-26.87296944	151.5799778
ECA2648	ECA2648	-37.8701549	144.9824148
ECA2656	ECA2656	-37.825658	144.9770918
ECA2659	ECA2659	-37.8274278	144.980163
ECA2660	ECA2660	-37.8274278	144.980163
ECA2672	ECA2672	-37.8701549	144.9824148
ECA2676	ECA2676	-37.8223452	144.9736522
ECA347	ECA347	19.438889	-155.303611
ECA348	ECA348	37.775334	-122.253889
ECA349	ECA349	32.765758	-117.236741
ECA36	ECA36	-36.893333	174.745529
ECA363	ECA363	20.723611	-156.304444
ECA369	ECA369	21.175556	-157.006389
ECA372	ECA372	22.121667	-159.664444
ECA592	ECA592	34.417128	-119.640915
