isotype	strain	represent_strain	strain_count	single_eri67	INVsosi1	sosi1_copy	DELeri6ef	DELeri6f3UTR	Polinton_CB_remnant	Repeats_in_eri67	SV_type	sv2
CB4856	CB4856	CB4856	9	detected	not	ref_sosi-1	not	not	detected	detected	CB4856-like	CB4856-like
ECA1186	ECA1186	CB4856	9	detected	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
ECA1243	ECA1243	CB4856	9	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
ECA1271	ECA1271	CB4856	9	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
ECA1287	ECA1287	CB4856	9	not	not	ref_and_alt_likely 	not	not	not	detected	CB4856-like	CB4856-like
ECA2452	ECA2452	CB4856	9	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
ECA2467	ECA2467	CB4856	9	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
ECA2481	ECA2481	CB4856	9	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
XZ2019	XZ2019	CB4856	9	not	not	ref_and_alt_likely 	not	not	not	detected	CB4856-like	CB4856-like
DL238	DL238	DL238	2	detected	not	ref_sosi-1	not	not	detected	detected	CB4856-like	CB4856-like
ECA1269	ECA1269	DL238	2	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
ECA1843	ECA1843	ECA1843	2	not	not	ref_and_alt	not	not	not	detected	CB4856-like	CB4856-like
ECA2367	ECA2367	ECA1843	2	not	not	ref_and_alt	not	not	not	detected	CB4856-like	CB4856-like
ECA2251	ECA2251	ECA2251	1	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
ECA2437	ECA2437	ECA2437	1	not	not	ref_sosi-1	not	not	detected	detected	CB4856-like	CB4856-like
ECA369	ECA369	ECA369	1	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
ECA701	ECA701	ECA701	1	not	not	ref_and_alt	not	not	not	detected	CB4856-like	CB4856-like
JU2007	JU2007	JU2007	2	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
QG2811	QG2811	JU2007	2	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
QX1791	QX1791	QX1791	1	not	not	ref_sosi-1	not	not	not	detected	CB4856-like	CB4856-like
ECA1069	ECA1069	ECA1069	1	not	detected	ref_sosi-1	not	not	detected	detected	INVsosi1	INVsosi1
ECA1202	ECA1202	ECA1202	17	not	detected	ref_sosi-1	not	not	detected	detected	INVsosi1	INVsosi1
ECA1208	ECA1208	ECA1202	17	not	detected	ref_sosi-1	not	not	detected	detected	INVsosi1	INVsosi1
ECA1212	ECA1212	ECA1202	17	not	not	ref_sosi-1	not	not	detected	detected	INVsosi1	INVsosi1
ECA1223	ECA1223	ECA1202	17	not	not	ref_sosi-1	not	not	detected	detected	INVsosi1	INVsosi1
ECA1225	ECA1225	ECA1202	17	not	not	ref_sosi-1	not	not	detected	detected	INVsosi1	INVsosi1
ECA1247	ECA1247	ECA1202	17	not	detected	ref_and_alt	not	not	detected	detected	INVsosi1	INVsosi1
ECA1284	ECA1284	ECA1202	17	not	not	ref_sosi-1	not	not	detected	detected	INVsosi1	INVsosi1
