Strain	Name	start	end	V8	strand
N2	sosi-1 	1	2558	7	-
ECA396	Ss1	1	2433	6	+
ECA396	Ss2	355	2433	5	-
ECA396	Ss3	2370	2558	4	-
JU2526	Ss4	1	2433	3	+
JU2526	Ss5	1167	1784	2	-
JU2526	Ss6	1985	2558	1	-
