ens_gene	strain	covered_length	Chr	start	end	ext_gene	perc
WBGene00000208	AB1	9447	II	15039404	15048904	trip-4	99.4421052631579
WBGene00000208	BRC20067	9224	II	15039404	15048904	trip-4	97.0947368421053
WBGene00000208	BRC20263	9494	II	15039404	15048904	trip-4	99.9368421052632
WBGene00000208	CB4852	9501	II	15039404	15048904	trip-4	100.010526315789
WBGene00000208	CB4854	8763	II	15039404	15048904	trip-4	92.2421052631579
WBGene00000208	CB4856	9341	II	15039404	15048904	trip-4	98.3263157894737
WBGene00000208	CB4932	9221	II	15039404	15048904	trip-4	97.0631578947368
WBGene00000208	CX11254	9259	II	15039404	15048904	trip-4	97.4631578947368
WBGene00000208	CX11262	9472	II	15039404	15048904	trip-4	99.7052631578947
WBGene00000208	CX11264	9254	II	15039404	15048904	trip-4	97.4105263157895
WBGene00000208	CX11271	9409	II	15039404	15048904	trip-4	99.0421052631579
WBGene00000208	CX11276	9338	II	15039404	15048904	trip-4	98.2947368421053
WBGene00000208	CX11285	9478	II	15039404	15048904	trip-4	99.7684210526316
WBGene00000208	CX11292	9008	II	15039404	15048904	trip-4	94.821052631579
WBGene00000208	CX11307	9386	II	15039404	15048904	trip-4	98.8
WBGene00000208	CX11314	9494	II	15039404	15048904	trip-4	99.9368421052632
WBGene00000208	CX11315	8976	II	15039404	15048904	trip-4	94.4842105263158
WBGene00000208	DL200	9387	II	15039404	15048904	trip-4	98.8105263157895
WBGene00000208	DL226	9501	II	15039404	15048904	trip-4	100.010526315789
WBGene00000208	DL238	8562	II	15039404	15048904	trip-4	90.1263157894737
WBGene00000208	ECA1069	9501	II	15039404	15048904	trip-4	100.010526315789
WBGene00000208	ECA1074	9495	II	15039404	15048904	trip-4	99.9473684210526
WBGene00000208	ECA1185	8581	II	15039404	15048904	trip-4	90.3263157894737
WBGene00000208	ECA1186	9303	II	15039404	15048904	trip-4	97.9263157894737
WBGene00000208	ECA1187	8744	II	15039404	15048904	trip-4	92.0421052631579
WBGene00000208	ECA1191	8648	II	15039404	15048904	trip-4	91.0315789473684
WBGene00000208	ECA1192	8684	II	15039404	15048904	trip-4	91.4105263157895
WBGene00000208	ECA1193	9161	II	15039404	15048904	trip-4	96.4315789473684
WBGene00000208	ECA1194	8595	II	15039404	15048904	trip-4	90.4736842105263
WBGene00000208	ECA1195	9118	II	15039404	15048904	trip-4	95.978947368421
WBGene00000208	ECA1196	8483	II	15039404	15048904	trip-4	89.2947368421053
WBGene00000208	ECA1200	9395	II	15039404	15048904	trip-4	98.8947368421053
WBGene00000208	ECA1202	8385	II	15039404	15048904	trip-4	88.2631578947368
WBGene00000208	ECA1206	9336	II	15039404	15048904	trip-4	98.2736842105263
WBGene00000208	ECA1208	9327	II	15039404	15048904	trip-4	98.178947368421
WBGene00000208	ECA1212	9331	II	15039404	15048904	trip-4	98.2210526315789
WBGene00000208	ECA1216	9316	II	15039404	15048904	trip-4	98.0631578947368
WBGene00000208	ECA1223	8716	II	15039404	15048904	trip-4	91.7473684210526
WBGene00000208	ECA1225	9294	II	15039404	15048904	trip-4	97.8315789473684
WBGene00000208	ECA1228	9331	II	15039404	15048904	trip-4	98.2210526315789
WBGene00000208	ECA1229	9285	II	15039404	15048904	trip-4	97.7368421052632
WBGene00000208	ECA1232	8506	II	15039404	15048904	trip-4	89.5368421052632
WBGene00000208	ECA1237	9315	II	15039404	15048904	trip-4	98.0526315789474
WBGene00000208	ECA1238	8734	II	15039404	15048904	trip-4	91.9368421052632
WBGene00000208	ECA1240	8727	II	15039404	15048904	trip-4	91.8631578947368
WBGene00000208	ECA1242	8611	II	15039404	15048904	trip-4	90.6421052631579
WBGene00000208	ECA1243	9430	II	15039404	15048904	trip-4	99.2631578947368
WBGene00000208	ECA1247	9317	II	15039404	15048904	trip-4	98.0736842105263
WBGene00000208	ECA1251	9496	II	15039404	15048904	trip-4	99.9578947368421
WBGene00000208	ECA1252	8712	II	15039404	15048904	trip-4	91.7052631578947
WBGene00000208	ECA1253	8594	II	15039404	15048904	trip-4	90.4631578947368
WBGene00000208	ECA1255	9402	II	15039404	15048904	trip-4	98.9684210526316
WBGene00000208	ECA1257	9485	II	15039404	15048904	trip-4	99.8421052631579
WBGene00000208	ECA1260	9427	II	15039404	15048904	trip-4	99.2315789473684
WBGene00000208	ECA1261	9311	II	15039404	15048904	trip-4	98.0105263157895
WBGene00000208	ECA1269	9463	II	15039404	15048904	trip-4	99.6105263157895
WBGene00000208	ECA1271	9397	II	15039404	15048904	trip-4	98.9157894736842
WBGene00000208	ECA1276	9325	II	15039404	15048904	trip-4	98.1578947368421
WBGene00000208	ECA1278	9304	II	15039404	15048904	trip-4	97.9368421052632
WBGene00000208	ECA1281	9337	II	15039404	15048904	trip-4	98.2842105263158
WBGene00000208	ECA1283	9327	II	15039404	15048904	trip-4	98.178947368421
WBGene00000208	ECA1284	9329	II	15039404	15048904	trip-4	98.2
WBGene00000208	ECA1286	9178	II	15039404	15048904	trip-4	96.6105263157895
WBGene00000208	ECA1287	9460	II	15039404	15048904	trip-4	99.578947368421
WBGene00000208	ECA1288	9501	II	15039404	15048904	trip-4	100.010526315789
WBGene00000208	ECA1289	8504	II	15039404	15048904	trip-4	89.5157894736842
WBGene00000208	ECA1293	9338	II	15039404	15048904	trip-4	98.2947368421053
WBGene00000208	ECA1298	9341	II	15039404	15048904	trip-4	98.3263157894737
WBGene00000208	ECA1316	9479	II	15039404	15048904	trip-4	99.7789473684211
WBGene00000208	ECA1409	9199	II	15039404	15048904	trip-4	96.8315789473684
WBGene00000208	ECA1413	9500	II	15039404	15048904	trip-4	100
WBGene00000208	ECA1493	9496	II	15039404	15048904	trip-4	99.9578947368421
WBGene00000208	ECA1693	9501	II	15039404	15048904	trip-4	100.010526315789
WBGene00000208	ECA1713	9500	II	15039404	15048904	trip-4	100
WBGene00000208	ECA1717	8687	II	15039404	15048904	trip-4	91.4421052631579
WBGene00000208	ECA1725	8720	II	15039404	15048904	trip-4	91.7894736842105
WBGene00000208	ECA1751	9233	II	15039404	15048904	trip-4	97.1894736842105
WBGene00000208	ECA1757	9482	II	15039404	15048904	trip-4	99.8105263157895
WBGene00000208	ECA1761	8714	II	15039404	15048904	trip-4	91.7263157894737
WBGene00000208	ECA1769	9332	II	15039404	15048904	trip-4	98.2315789473684
WBGene00000208	ECA1793	8560	II	15039404	15048904	trip-4	90.1052631578947
WBGene00000208	ECA1805	9501	II	15039404	15048904	trip-4	100.010526315789
WBGene00000208	ECA1807	9485	II	15039404	15048904	trip-4	99.8421052631579
WBGene00000208	ECA1815	9497	II	15039404	15048904	trip-4	99.9684210526316
WBGene00000208	ECA1821	8937	II	15039404	15048904	trip-4	94.0736842105263
WBGene00000208	ECA1825	9388	II	15039404	15048904	trip-4	98.821052631579
WBGene00000208	ECA1843	9484	II	15039404	15048904	trip-4	99.8315789473684
WBGene00000208	ECA1851	9490	II	15039404	15048904	trip-4	99.8947368421053
WBGene00000208	ECA1853	9341	II	15039404	15048904	trip-4	98.3263157894737
WBGene00000208	ECA1875	9444	II	15039404	15048904	trip-4	99.4105263157895
WBGene00000208	ECA1885	8560	II	15039404	15048904	trip-4	90.1052631578947
WBGene00000208	ECA1887	9317	II	15039404	15048904	trip-4	98.0736842105263
WBGene00000208	ECA1889	9331	II	15039404	15048904	trip-4	98.2210526315789
WBGene00000208	ECA1891	9144	II	15039404	15048904	trip-4	96.2526315789474
WBGene00000208	ECA189	9319	II	15039404	15048904	trip-4	98.0947368421053
WBGene00000208	ECA1901	9443	II	15039404	15048904	trip-4	99.4
WBGene00000208	ECA1919	9337	II	15039404	15048904	trip-4	98.2842105263158
WBGene00000208	ECA191	9330	II	15039404	15048904	trip-4	98.2105263157895
WBGene00000208	ECA1925	9496	II	15039404	15048904	trip-4	99.9578947368421
WBGene00000208	ECA1937	9474	II	15039404	15048904	trip-4	99.7263157894737
WBGene00000208	ECA1939	9478	II	15039404	15048904	trip-4	99.7684210526316
WBGene00000208	ECA1943	9491	II	15039404	15048904	trip-4	99.9052631578947
WBGene00000208	ECA1969	9340	II	15039404	15048904	trip-4	98.3157894736842
WBGene00000208	ECA1977	9402	II	15039404	15048904	trip-4	98.9684210526316
WBGene00000208	ECA1997	9331	II	15039404	15048904	trip-4	98.2210526315789
WBGene00000208	ECA2041	9500	II	15039404	15048904	trip-4	100
WBGene00000208	ECA2043	9051	II	15039404	15048904	trip-4	95.2736842105263
WBGene00000208	ECA2073	9337	II	15039404	15048904	trip-4	98.2842105263158
WBGene00000208	ECA2081	9340	II	15039404	15048904	trip-4	98.3157894736842
WBGene00000208	ECA2091	8791	II	15039404	15048904	trip-4	92.5368421052632
WBGene00000208	ECA2109	9480	II	15039404	15048904	trip-4	99.7894736842105
WBGene00000208	ECA2111	9339	II	15039404	15048904	trip-4	98.3052631578947
WBGene00000208	ECA2151	9164	II	15039404	15048904	trip-4	96.4631578947368
WBGene00000208	ECA2155	8717	II	15039404	15048904	trip-4	91.7578947368421
WBGene00000208	ECA2159	8636	II	15039404	15048904	trip-4	90.9052631578947
WBGene00000208	ECA2183	8544	II	15039404	15048904	trip-4	89.9368421052632
WBGene00000208	ECA2187	8590	II	15039404	15048904	trip-4	90.421052631579
WBGene00000208	ECA2191	9231	II	15039404	15048904	trip-4	97.1684210526316
WBGene00000208	ECA2195	9103	II	15039404	15048904	trip-4	95.821052631579
WBGene00000208	ECA2199	9486	II	15039404	15048904	trip-4	99.8526315789474
WBGene00000208	ECA2251	9499	II	15039404	15048904	trip-4	99.9894736842105
WBGene00000208	ECA2281	8720	II	15039404	15048904	trip-4	91.7894736842105
WBGene00000208	ECA2291	8714	II	15039404	15048904	trip-4	91.7263157894737
WBGene00000208	ECA2332	9328	II	15039404	15048904	trip-4	98.1894736842105
WBGene00000208	ECA2334	9490	II	15039404	15048904	trip-4	99.8947368421053
WBGene00000208	ECA2336	8747	II	15039404	15048904	trip-4	92.0736842105263
WBGene00000208	ECA2344	9501	II	15039404	15048904	trip-4	100.010526315789
WBGene00000208	ECA2350	9476	II	15039404	15048904	trip-4	99.7473684210526
WBGene00000208	ECA2360	8533	II	15039404	15048904	trip-4	89.821052631579
